response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0156,0.0052,0.0033,0.0000,0.0094,0.0001,200,0.0104
0.0144,0.0051,0.0039,0.0000,0.0091,0.0002,200,0.0117
0.0158,0.0057,0.0035,0.0001,0.0098,0.0001,200,0.0104
0.0155,0.0050,0.0037,0.0000,0.0098,0.0000,200,0.0108
0.0221,0.0059,0.0047,0.0000,0.0159,0.0002,200,0.0110
0.0218,0.0048,0.0035,0.0000,0.0169,0.0001,200,0.0116
0.0212,0.0045,0.0034,0.0000,0.0166,0.0002,200,0.0124
0.0242,0.0049,0.0036,0.0000,0.0191,0.0001,200,0.0122
0.0251,0.0058,0.0038,0.0001,0.0192,0.0001,200,0.0117
0.0272,0.0063,0.0035,0.0001,0.0208,0.0000,200,0.0108
0.0268,0.0053,0.0036,0.0001,0.0214,0.0001,200,0.0124
0.0281,0.0057,0.0045,0.0001,0.0223,0.0000,200,0.0114
0.0277,0.0052,0.0037,0.0001,0.0224,0.0000,200,0.0120
0.0285,0.0058,0.0044,0.0000,0.0226,0.0001,200,0.0115
0.0289,0.0060,0.0033,0.0000,0.0228,0.0000,200,0.0111
0.0286,0.0058,0.0036,0.0001,0.0225,0.0001,200,0.0118
0.0292,0.0059,0.0044,0.0000,0.0232,0.0000,200,0.0115
0.0304,0.0060,0.0034,0.0000,0.0235,0.0000,200,0.0104
0.0287,0.0049,0.0033,0.0000,0.0237,0.0000,200,0.0120
0.0147,0.0000,0.0000,0.0000,0.0146,0.0000,200,0.0261
0.0298,0.0067,0.0041,0.0001,0.0229,0.0000,200,0.0110
0.0283,0.0051,0.0036,0.0000,0.0232,0.0000,200,0.0125
0.0292,0.0058,0.0037,0.0000,0.0233,0.0000,200,0.0117
0.0295,0.0062,0.0045,0.0001,0.0231,0.0000,200,0.0114
0.0045,0.0000,0.0000,0.0001,0.0044,0.0000,200,0.0367
0.0305,0.0059,0.0041,0.0000,0.0236,0.0000,200,0.0108
0.0297,0.0059,0.0043,0.0000,0.0238,0.0000,200,0.0117
0.0310,0.0069,0.0034,0.0000,0.0236,0.0000,200,0.0104
0.0311,0.0065,0.0045,0.0001,0.0238,0.0000,200,0.0104
0.0152,0.0000,0.0000,0.0000,0.0151,0.0000,200,0.0263
0.0299,0.0062,0.0034,0.0000,0.0235,0.0001,200,0.0116
0.0291,0.0054,0.0037,0.0000,0.0235,0.0001,200,0.0124
0.0293,0.0054,0.0034,0.0000,0.0237,0.0001,200,0.0123
0.0303,0.0062,0.0034,0.0001,0.0238,0.0002,200,0.0113
0.0302,0.0064,0.0034,0.0000,0.0237,0.0000,200,0.0115
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0334
0.0086,0.0000,0.0000,0.0001,0.0082,0.0003,200,0.0331
0.0299,0.0061,0.0038,0.0000,0.0235,0.0003,200,0.0118
0.0294,0.0055,0.0034,0.0000,0.0235,0.0003,200,0.0124
0.0158,0.0000,0.0000,0.0001,0.0153,0.0004,200,0.0261
