Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
4.000      0.100000    1000        1.11
4.600      0.200000    2000        1.25
5.000      0.300000    3000        1.43
5.500      0.400000    4000        1.67
5.900      0.500000    5000        2.00
6.100      0.550000    5500        2.22
6.400      0.600000    6000        2.50
6.800      0.650000    6500        2.86
7.200      0.700000    7000        3.33
7.600      0.750000    7500        4.00
7.900      0.775000    7750        4.44
8.200      0.800000    8000        5.00
8.500      0.825000    8250        5.71
8.900      0.850000    8500        6.67
9.300      0.875000    8750        8.00
9.500      0.887500    8875        8.89
9.800      0.900000    9000        10.00
10.400     0.912500    9125        11.43
10.900     0.925000    9250        13.33
11.400     0.937500    9375        16.00
11.800     0.943750    9438        17.78
12.100     0.950000    9500        20.00
12.700     0.956250    9563        22.86
13.200     0.962500    9625        26.67
13.700     0.968750    9688        32.00
14.000     0.971875    9719        35.56
14.400     0.975000    9750        40.00
14.600     0.978125    9781        45.71
15.100     0.981250    9813        53.33
15.800     0.984375    9844        64.00
16.200     0.985938    9859        71.11
16.500     0.987500    9875        80.00
17.300     0.989062    9891        91.42
17.700     0.990625    9906        106.67
18.500     0.992188    9922        128.01
19.600     0.992969    9930        142.23
21.200     0.993750    9938        160.00
22.100     0.994531    9945        182.85
24.200     0.995313    9953        213.36
28.300     0.996094    9961        256.02
28.900     0.996484    9965        284.41
29.300     0.996875    9969        320.00
29.800     0.997266    9973        365.76
30.300     0.997656    9977        426.62
31.000     0.998047    9980        512.03
31.000     0.998242    9982        568.83
31.500     0.998437    9984        639.80
32.200     0.998633    9986        731.53
32.300     0.998828    9988        853.24
32.599     0.999023    9990        1023.54
32.801     0.999121    9991        1137.66
32.801     0.999219    9992        1280.41
33.001     0.999316    9993        1461.99
33.401     0.999414    9994        1706.48
33.501     0.999512    9995        2049.18
33.501     0.999561    9996        2277.90
33.501     0.999609    9996        2557.54
33.701     0.999658    9997        2923.98
33.701     0.999707    9997        3412.97
33.701     0.999756    9998        4098.36
33.701     0.999780    9998        4545.45
33.701     0.999805    9998        5128.21
33.701     0.999829    9998        5847.95
34.001     0.999854    9999        6849.32
34.001     0.999878    9999        8196.72
34.001     0.999890    9999        9090.91
34.001     0.999902    9999        10204.08
34.001     0.999915    9999        11764.71
34.001     0.999927    9999        13698.63
34.001     0.999939    9999        16393.44
34.001     0.999945    9999        18181.82
34.101     0.999951    10000       20408.16
34.101     0.999957    10000       23255.81
34.101     0.999963    10000       27027.03
34.101     0.999969    10000       32258.06
34.101     0.999973    10000       37037.04
34.101     0.999976    10000       41666.67
34.101     0.999979    10000       47619.05
34.101     0.999982    10000       55555.56
34.101     0.999985    10000       66666.67
34.101     0.999986    10000       71428.57
34.101     0.999988    10000       83333.33
34.101     0.999989    10000       90909.09
34.101     0.999991    10000       111111.11
34.101     0.999992    10000       125000.00
34.101     0.999993    10000       142857.14
34.101     0.999994    10000       166666.67
34.101     0.999995    10000       200000.00
34.101     0.999996    10000       250000.00
34.101     0.999997    10000       333333.33
34.101     0.999998    10000       500000.00
34.101     0.999999    10000       1000000.00
34.101     1.000000    10000       10000000.00
