Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.000000
5.000      0.100000    1000        1.111111
6.000      0.200000    2000        1.250000
6.700      0.300000    3000        1.428571
7.500      0.400000    4000        1.666667
8.400      0.500000    5000        2.000000
8.900      0.550000    5500        2.222222
9.500      0.600000    6000        2.500000
10.100     0.650000    6500        2.857143
10.900     0.700000    7000        3.333333
11.600     0.750000    7500        4.000000
12.100     0.775000    7750        4.444444
12.600     0.800000    8000        5.000000
13.100     0.825000    8250        5.714286
13.700     0.850000    8500        6.666667
14.200     0.875000    8750        8.000000
14.600     0.887500    8875        8.888889
15.000     0.900000    9000        10.000000
15.699     0.912500    9125        11.428571
16.500     0.925000    9250        13.333333
17.300     0.937500    9375        16.000000
17.700     0.943750    9438        17.777778
18.000     0.950000    9500        20.000000
18.600     0.956250    9563        22.857143
19.300     0.962500    9625        26.666667
20.000     0.968750    9688        32.000000
20.400     0.971875    9719        35.555556
20.800     0.975000    9750        40.000000
21.400     0.978125    9781        45.714286
22.100     0.981250    9813        53.333333
22.800     0.984375    9844        64.000000
23.100     0.985938    9859        71.113640
23.800     0.987500    9875        80.000000
24.200     0.989062    9891        91.424392
26.500     0.990625    9906        106.666667
27.600     0.992188    9922        128.008193
28.600     0.992969    9930        142.227279
30.000     0.993750    9938        160.000000
30.300     0.994531    9945        182.848784
30.900     0.995313    9953        213.356091
31.200     0.996094    9961        256.016385
31.500     0.996484    9965        284.414107
31.700     0.996875    9969        320.000000
31.899     0.997266    9973        365.764448
32.200     0.997656    9977        426.621160
32.300     0.998047    9980        512.032770
32.599     0.998242    9982        568.828214
32.801     0.998437    9984        639.795266
32.901     0.998633    9986        731.528895
33.201     0.998828    9988        853.242321
33.301     0.999023    9990        1023.541453
33.301     0.999121    9991        1137.656428
33.401     0.999219    9992        1280.409731
33.501     0.999316    9993        1461.988304
33.501     0.999414    9994        1706.484642
35.901     0.999512    9995        2049.180328
53.601     0.999561    9996        2277.904328
53.601     0.999609    9996        2557.544757
53.701     0.999658    9997        2923.976608
53.701     0.999707    9997        3412.969283
53.701     0.999756    9998        4098.360656
53.701     0.999780    9998        4545.454545
53.701     0.999805    9998        5128.205128
53.701     0.999829    9998        5847.953216
53.701     0.999854    9999        6849.315068
53.701     0.999878    9999        8196.721311
53.701     0.999890    9999        9090.909091
53.701     0.999902    9999        10204.081633
53.701     0.999915    9999        11764.705882
53.701     0.999927    9999        13698.630137
53.701     0.999939    9999        16393.442623
53.701     0.999945    9999        18181.818182
57.301     0.999951    10000       20408.163265
57.301     0.999957    10000       23255.813953
57.301     0.999963    10000       27027.027027
57.301     0.999969    10000       32258.064516
57.301     0.999973    10000       37037.037037
57.301     0.999976    10000       41666.666667
57.301     0.999979    10000       47619.047619
57.301     0.999982    10000       55555.555556
57.301     0.999985    10000       66666.666667
57.301     0.999986    10000       71428.571429
57.301     0.999988    10000       83333.333333
57.301     0.999989    10000       90909.090909
57.301     0.999991    10000       111111.111111
57.301     0.999992    10000       125000.000000
57.301     0.999993    10000       142857.142858
57.301     0.999994    10000       166666.666668
57.301     0.999995    10000       199999.999999
57.301     0.999996    10000       250000.000000
57.301     0.999997    10000       333333.333336
57.301     0.999998    10000       500000.000013
57.301     0.999999    10000       999999.999971
57.301     1.000000    10000       10000000.000000
